month,broadband_connections,no_of_subscriptions
2018-03,Cable Modem,168800
2018-03,Fibre Based,1157500
2018-04,DSL,15400
2018-04,Cable Modem,165300
2018-04,Fibre Based,1164300
2018-05,DSL,14000
2018-05,Cable Modem,161300
2018-05,Fibre Based,1171200
2018-06,DSL,12700
2018-06,Cable Modem,156200
2018-06,Fibre Based,1179300
2018-07,DSL,11600
2018-07,Cable Modem,150800
2018-07,Fibre Based,1186500
2018-08,DSL,10500
2018-08,Cable Modem,145900
2018-08,Fibre Based,1194100
2018-09,DSL,9100
2018-09,Cable Modem,140500
2018-09,Fibre Based,1203500
2018-10,DSL,7500
2018-10,Cable Modem,135200
2018-10,Fibre Based,1215800
2018-11,DSL,6000
2018-11,Cable Modem,128500
2018-11,Fibre Based,1226800
2018-12,DSL,5100
2018-12,Cable Modem,117300
2018-12,Fibre Based,1244000
2019-01,DSL,3800
2019-01,Cable Modem,106900
2019-01,Fibre Based,1260300
2019-02,DSL,2300
2019-02,Cable Modem,100400
2019-02,Fibre Based,1269900
2019-03,DSL,1700
2019-03,Cable Modem,89600
2019-03,Fibre Based,1285400
2019-04,DSL,1400
2019-04,Cable Modem,76900
2019-04,Fibre Based,1298800
2019-05,DSL,1300
2019-05,Cable Modem,61500
2019-05,Fibre Based,1316900
