" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
     Manufacturing , 13.4 , 17.6 , 19.3 , 18.4 , 18.7 , 15 , 17.2 , 20.5 , 23.5 , 24.3 , 23.1 , 28.2 , 29.6 , 31.3 , 32.2 , 28.7 , 33.9 , 32.7 , 36.9 , 37 , 35.5 , 36.6 , 37.7 , 37.8 , 36.2 , 33.5 , 33.9 , 31.5 , 33 , 31.8 ,
     Construction , 4.1 , 5.7 , 5.6 , 6.2 , 6.4 , 6.4 , 6.2 , 8.1 , 7.6 , 8.1 , 7.8 , 9.6 , 10.2 , 11.4 , 11.7 , 10.5 , 14.7 , 15.5 , 17.1 , 18.5 , 16.5 , 16.2 , 18.6 , 18.9 , 18 , 20 , 17.3 , 15.5 , 16.1 , 16.3 ,
     Services , 52.1 , 60.1 , 62.5 , 62.6 , 63 , 59.5 , 62.2 , 74.6 , 82.1 , 89.3 , 99.7 , 115 , 118.6 , 123.2 , 127.1 , 133.4 , 151.2 , 158.6 , 160.3 , 163.9 , 170.1 , 181.8 , 180.5 , 187.9 , 197 , 199 , 201 , 195.1 , 200.1 , 196.8 ,
         Wholesale & Retail Trade * , 12.9 , 24.5 , 24.5 , 25.4 , 25.1 , 13 , 24 , 28.7 , 18.4 , 20.4 , 22.7 , 25.3 , 27.3 , 27.9 , 28.5 , 31.4 , 35.4 , 34.5 , 33.9 , 35.5 , 36.9 , 39.8 , 40.6 , 39.2 , 47.3 , 46.9 , 46.2 , 48.1 , 44.6 , 45.1 ,
         Transportation & Storage * , 10.1 , 12 , 12.4 , 13.2 , 12.7 , 10.8 , 11.7 , 15.4 , 17.3 , 16.6 , 17.9 , 22.8 , 25.3 , 25.5 , 27.2 , 25.8 , 28.1 , 30.5 , 30.2 , 29.8 , 28.9 , 31.8 , 28.7 , 30.8 , 27.2 , 29.1 , 27.6 , 26.6 , 27.1 , 26.1 ,
         Accommodation & Food Services , 7.4 , - , - , - , - , 8.8 , - , - , 11.7 , 12.8 , 13.2 , 16.6 , 15.3 , 16.5 , 17.2 , 15.1 , 19.3 , 19.1 , 19.8 , 18.6 , 19.1 , 19.3 , 19.4 , 18.2 , 19.6 , 17.8 , 18 , 15.1 , 16.4 , 15.2 ,
         Information & Communications , 0.9 , - , - , - , - , 1.3 , - , - , - , - , 2.3 , - , - , - , - , 2.9 , 3.4 , 4.5 , 5.7 , 6 , 6.2 , 6.6 , 6.6 , 6.7 , 7.1 , 6.6 , 6.4 , 7.1 , 7.2 , 9 ,
         Financial & Insurance Services * , 2.2 , 7.6 , 8.2 , 7.8 , 8.3 , 2.4 , 8.9 , 10.7 , 3.7 , 4.4 , 5 , 6.3 , 6.8 , 6.5 , 5.1 , 7.6 , 8.2 , 7.2 , 8.1 , 9.4 , 9 , 11.2 , 11.3 , 13.7 , 15.5 , 13 , 18.4 , 16.3 , 19.2 , 18.8 ,
         Business Services , 5.9 , - , - , - , - , 7.6 , - , - , 8.9 , 10.9 , 13.9 , 15.1 , 15.3 , 18.6 , 19.8 , 20.9 , 23.4 , 25.4 , 26.3 , 24.2 , 28.5 , 28.1 , 31.6 , 32.5 , 34.6 , 39 , 36.7 , 37 , 37.2 , 36.2 ,
             Real Estate Services , 3.1 , - , - , - , - , 3.1 , - , - , - , - , 3.8 , - , - , - , - , 4.9 , 5.5 , 5.9 , 4.9 , 4.8 , 5 , 6.2 , 6.8 , 7.2 , 7 , 8.2 , 7 , 7.2 , 6.1 , 6.7 ,
             Professional Services , 1.4 , - , - , - , - , 2.5 , - , - , - , - , 4.2 , - , - , - , - , 6.9 , 7.4 , 7.6 , 9.9 , 9.1 , 10.6 , 9.8 , 11.9 , 13.4 , 15.1 , 17 , 16.7 , 16.6 , 18.5 , 17.3 ,
             Administrative & Support Services , 1.4 , - , - , - , - , 2 , - , - , - , - , 5.8 , - , - , - , - , 9.1 , 10.5 , 11.9 , 11.5 , 10.3 , 12.9 , 12.1 , 12.9 , 11.9 , 12.5 , 13.8 , 13 , 13.2 , 12.6 , 12.2 ,
"         Community, Social & Personal Services ", 12.7 , 16 , 17.4 , 16.2 , 16.9 , 15.5 , 17.6 , 19.8 , 22.1 , 24.2 , 24.7 , 29 , 28.6 , 28.2 , 29.2 , 29.6 , 33.1 , 37.3 , 36.2 , 40.3 , 41.7 , 45 , 42.4 , 46.9 , 45.8 , 46.6 , 47.6 , 44.9 , 48.6 , 46.5 ,
             Public Administration & Education , 6.5 , - , - , - , - , 7.8 , - , - , 11.2 , 12.2 , 12.8 , 14.5 , 13.5 , 12.3 , 13.6 , 14.8 , 14.6 , 16.8 , 16.2 , 18.9 , 19.2 , 21 , 20.3 , 22.2 , 22.4 , 23.4 , 22.5 , 22.1 , 23 , 22.5 ,
             Health & Social Services , 2.9 , - , - , - , - , 3.6 , - , - , 4.6 , 4.7 , 5 , 5.5 , 5.9 , 5.9 , 6.3 , 6.6 , 7.6 , 8.4 , 8.7 , 8.8 , 8.8 , 9.8 , 9.3 , 10.4 , 10.7 , 10.9 , 11.8 , 11.8 , 13.3 , 13.3 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 3.5 , 3.5 , 4.2 , 3.6 , 3.2 , 3.3 , 4 , 2.5 , 3.5 , 2.7 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 9 , 9.2 , 10 , 9.3 , - , - , - , - , - , 10.2 , 10.7 , 8.6 , 10.7 , 9.5 , 9 , 9.3 , 8.5 , 8.8 , 8 ,
     Other Industries Nes * , 2.2 , 1.2 , 1.4 , 1.2 , 1.8 , 2.6 , 1.1 , 1.7 , 1.5 , 2.1 , 2 , 1.8 , 2.3 , 1.6 , 1.7 , 2.6 , 3.5 , 3.1 , 3.4 , 2.5 , 5.3 , 3.8 , 4.4 , 3.4 , 3.5 , 2.8 , 1.8 , 2.2 , 1.9 , 2.1 ,
 Employed Residents Aged 55 - 59 Years , 45.1 , 48.8 , 50.1 , 52.5 , 58 , 58.3 , 66 , 66.5 , 68.5 , 68.3 , 61.8 , 64.8 , 83.1 , 92.9 , 106.4 , 109.1 , 135.8 , 143.5 , 146.5 , 150.7 , 172.8 , 181.6 , 191.3 , 199.1 , 213.9 , 216.4 , 218.6 , 205.4 , 217.3 , 227.8 ,
     Manufacturing , 7.4 , 7.9 , 9 , 9.2 , 11.1 , 9 , 10.7 , 10.5 , 11.5 , 12 , 9.1 , 9.5 , 12.3 , 14.4 , 17.2 , 15.6 , 19.6 , 22.1 , 22.5 , 24.4 , 22.1 , 26.4 , 29.3 , 26.9 , 27.3 , 25.3 , 24.3 , 24.2 , 26 , 25.8 ,
     Construction , 2.3 , 3.1 , 3 , 3 , 3.6 , 3.3 , 4.2 , 4.7 , 4.1 , 3.7 , 3.7 , 3.6 , 4.6 , 6.2 , 5.9 , 5.8 , 8.1 , 9 , 9.7 , 11.5 , 11.8 , 11.6 , 12.5 , 14.6 , 13.7 , 16.9 , 13.8 , 12.9 , 14.5 , 16 ,
     Services , 33.5 , 36.7 , 37.1 , 39.6 , 42.3 , 44.1 , 50.1 , 50.3 , 51.6 , 51.3 , 47.8 , 50.2 , 65 , 71 , 81.6 , 85.6 , 105.4 , 109.2 , 110.8 , 112.1 , 134.7 , 140.6 , 146.5 , 154.9 , 169.9 , 170.6 , 177.9 , 165.9 , 174.1 , 183.1 ,
         Wholesale & Retail Trade * , 9.1 , 15.3 , 15 , 15.6 , 17.9 , 10.2 , 18.4 , 18.8 , 11.1 , 11.6 , 10.7 , 10.5 , 14.2 , 15.5 , 17.7 , 19.6 , 22.5 , 21.2 , 22.5 , 22.7 , 27.1 , 28.2 , 30.4 , 28.2 , 39.1 , 38.8 , 40.9 , 37.2 , 37.4 , 38.8 ,
         Transportation & Storage * , 6.6 , 7.1 , 7.8 , 8.4 , 8 , 7.7 , 10.3 , 10.8 , 9.9 , 9.8 , 8.4 , 9.5 , 11.7 , 13.8 , 16.2 , 15.6 , 20.7 , 21 , 22 , 22.8 , 26.6 , 26.7 , 27.4 , 28.2 , 29.5 , 28.3 , 27.4 , 27 , 27 , 27.4 ,
         Accommodation & Food Services , 5.2 , - , - , - , - , 6.4 , - , - , 8.2 , 7.9 , 7.2 , 7.8 , 9.7 , 9.6 , 11.3 , 11.3 , 15.8 , 14.8 , 13.5 , 14.6 , 16.7 , 17.2 , 16.6 , 18.6 , 18.6 , 19.2 , 18 , 16.7 , 16.2 , 17.9 ,
         Information & Communications , 0.4 , - , - , - , - , 1 , - , - , - , - , 0.9 , - , - , - , - , 1.3 , 2.1 , 2.9 , 3.2 , 3 , 3.6 , 3.8 , 4.2 , 5.1 , 4.9 , 4.1 , 3.9 , 4.7 , 4.3 , 4.4 ,
         Financial & Insurance Services * , 1.1 , 5 , 4.8 , 5.7 , 4.7 , 1.6 , 7.7 , 7.3 , 2.5 , 2.1 , 1.8 , 1.9 , 2.1 , 3.4 , 3.1 , 4.1 , 4.2 , 4.9 , 4.1 , 4.9 , 5.2 , 6.8 , 6.6 , 8 , 8.4 , 10 , 12.4 , 10.7 , 13.3 , 13.9 ,
         Business Services , 4.5 , - , - , - , - , 6 , - , - , 6.6 , 6.4 , 6.5 , 7.2 , 8.8 , 10 , 12.8 , 13.6 , 16.4 , 19.2 , 19.2 , 19.7 , 23.8 , 24.1 , 27.5 , 27.2 , 29.4 , 31.4 , 34.6 , 31.8 , 34.4 , 35.5 ,
             Real Estate Services , 2.5 , - , - , - , - , 2.8 , - , - , - , - , 1.5 , - , - , - , - , 3.4 , 3.1 , 3.5 , 3.8 , 4.6 , 3.7 , 5.2 , 5.2 , 5.5 , 5.9 , 5.7 , 6.1 , 6.5 , 6.7 , 6.5 ,
             Professional Services , 0.8 , - , - , - , - , 1.8 , - , - , - , - , 1.8 , - , - , - , - , 3.5 , 3.7 , 4.4 , 5.6 , 4.9 , 6.5 , 7.2 , 9.1 , 8.9 , 10.9 , 11.3 , 11.8 , 12 , 13.5 , 13.9 ,
             Administrative & Support Services , 1.2 , - , - , - , - , 1.5 , - , - , - , - , 3.2 , - , - , - , - , 6.7 , 9.6 , 11.3 , 9.8 , 10.2 , 13.6 , 11.7 , 13.2 , 12.8 , 12.6 , 14.4 , 16.7 , 13.3 , 14.2 , 15.1 ,
"         Community, Social & Personal Services ", 6.7 , 9.3 , 9.5 , 9.9 , 11.7 , 11.2 , 13.7 , 13.4 , 13.3 , 13.5 , 12.4 , 13.3 , 18.6 , 18.6 , 20.5 , 20 , 23.7 , 25.3 , 26.3 , 24.4 , 31.8 , 33.8 , 33.6 , 39.7 , 40 , 39 , 40.7 , 37.6 , 41.6 , 45.1 ,
             Public Administration & Education , 2.9 , - , - , - , - , 5.3 , - , - , 5.3 , 6.3 , 6.2 , 6.2 , 9.1 , 9.5 , 10 , 9.3 , 11.2 , 11.9 , 12.5 , 11.7 , 15.2 , 15.4 , 15.7 , 18.9 , 19.2 , 18.4 , 17.5 , 17.6 , 20.5 , 23.2 ,
             Health & Social Services , 1.6 , - , - , - , - , 2.4 , - , - , 3 , 2.7 , 2.8 , 3.2 , 3.6 , 4 , 4.2 , 4.9 , 5.4 , 5 , 5 , 5.1 , 6.7 , 8.4 , 7.7 , 9 , 9.4 , 10.1 , 11.5 , 9.7 , 9.9 , 10.9 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 2 , 2.8 , 2.4 , 3.2 , 2.4 , 3.3 , 3.4 , 2.6 , 3 , 2.9 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 3.9 , 5.9 , 5.1 , 6.3 , - , - , - , - , - , 7.9 , 7.2 , 7.8 , 8.6 , 9 , 7.2 , 8.3 , 7.7 , 8.2 , 8.1 ,
     Other Industries Nes * , 1.8 , 1.1 , 1.1 , 0.9 , 1 , 1.9 , 1.1 , 1.1 , 1.4 , 1.2 , 1.3 , 1.5 , 1.3 , 1.3 , 1.8 , 2.1 , 2.7 , 3.2 , 3.5 , 2.6 , 4.3 , 3 , 3 , 2.7 , 3 , 3.7 , 2.6 , 2.4 , 2.7 , 3 ,
 Employed Residents Aged 60 - 64 Years , 25.9 , 26.4 , 28.1 , 28.5 , 29 , 27.5 , 29.3 , 31.4 , 30.9 , 37.7 , 34.4 , 42.3 , 43.2 , 43.9 , 43 , 41.2 , 54.8 , 63.9 , 75.6 , 87.1 , 95.5 , 110.3 , 123.4 , 132.2 , 146.1 , 149.2 , 158.8 , 161.3 , 165.9 , 165.8 ,
     Manufacturing , 3.4 , 4.3 , 3.6 , 3.9 , 4.7 , 3.6 , 4.4 , 5.5 , 4.2 , 4.7 , 4.3 , 5.8 , 4.7 , 4.8 , 5.6 , 4.6 , 6.5 , 8.1 , 9 , 11 , 11.4 , 14.1 , 15.2 , 16.5 , 17.3 , 16.7 , 17.4 , 17.7 , 16.7 , 17.4 ,
     Construction , 1 , 1.2 , 1.5 , 1.6 , 1.5 , 1.6 , 1.6 , 1.9 , 1.6 , 1.7 , 1.6 , 2.1 , 2.3 , 2.4 , 2.3 , 1.9 , 3.2 , 4.1 , 5.2 , 5.1 , 4.3 , 5.9 , 7.3 , 8.3 , 7.6 , 9.1 , 9.5 , 8.9 , 10.8 , 10.6 ,
     Services , 20.7 , 20.7 , 22.7 , 22.7 , 22.4 , 21.2 , 23 , 23.5 , 24.7 , 30.8 , 27.8 , 33.8 , 35.7 , 35.6 , 34.5 , 33.8 , 44 , 50.8 , 60.2 , 69.5 , 77.2 , 88.3 , 98.9 , 104.5 , 118.4 , 121.2 , 129.9 , 132 , 136.2 , 135.8 ,
         Wholesale & Retail Trade * , 6.7 , 9.4 , 11.3 , 10.3 , 10.6 , 5.5 , 10.2 , 10.3 , 5.6 , 7.4 , 6.2 , 8 , 7.5 , 8.1 , 8 , 7.6 , 9.2 , 10.7 , 12.4 , 13.9 , 15.7 , 17.1 , 20.7 , 21.6 , 23.9 , 25.8 , 28.6 , 28 , 28.7 , 30.7 ,
         Transportation & Storage * , 3.4 , 3.6 , 3.9 , 4.6 , 4.6 , 4.4 , 4.2 , 4.5 , 5 , 5.1 , 5.1 , 6.2 , 6.3 , 6.2 , 5.8 , 5.9 , 8.3 , 9.2 , 12 , 12.9 , 14 , 17.3 , 18.6 , 17.8 , 22.2 , 21.7 , 21.5 , 23.5 , 23.2 , 23.4 ,
         Accommodation & Food Services , 3.7 , - , - , - , - , 3.5 , - , - , 4.3 , 5.5 , 4.4 , 5.6 , 6.2 , 7 , 5.5 , 5.3 , 6.5 , 7.5 , 8.7 , 11.1 , 10.6 , 13.3 , 12.7 , 15 , 13.3 , 14 , 16 , 15.9 , 14.7 , 14.4 ,
         Information & Communications , 0.1 , - , - , - , - , 0.3 , - , - , - , - , 0.4 , - , - , - , - , 0.4 , 0.4 , 0.6 , 0.8 , 1 , 1.1 , 1.6 , 1.7 , 2 , 2.1 , 1.7 , 2.4 , 2.3 , 3.2 , 2.6 ,
         Financial & Insurance Services * , 0.5 , 3.5 , 3.3 , 3.6 , 3.4 , 0.6 , 4.2 , 3.8 , 0.8 , 1.2 , 1.1 , 0.8 , 1.2 , 1.2 , 1 , 1 , 1.4 , 1.4 , 1.8 , 2.2 , 3.3 , 3.4 , 3.8 , 4.2 , 5.8 , 5.3 , 8.4 , 7.4 , 7.6 , 9.4 ,
         Business Services , 3.6 , - , - , - , - , 3.1 , - , - , 3.7 , 4.5 , 4.8 , 6.1 , 6.6 , 5.9 , 6.4 , 6.3 , 8.3 , 9.5 , 10 , 12.8 , 14.2 , 16.3 , 19.1 , 20.4 , 23.7 , 24.4 , 27.3 , 26.7 , 29.4 , 25.6 ,
             Real Estate Services , 2 , - , - , - , - , 1.3 , - , - , - , - , 1 , - , - , - , - , 1.2 , 1.3 , 1.4 , 1.6 , 2.9 , 2.3 , 2.4 , 3.3 , 3.4 , 4.4 , 5.3 , 5.3 , 6 , 6 , 3.9 ,
             Professional Services , 0.4 , - , - , - , - , 0.8 , - , - , - , - , 1 , - , - , - , - , 1.5 , 1.7 , 1.5 , 1.8 , 2.3 , 2.9 , 3.4 , 5 , 6.1 , 7.2 , 7.6 , 7.3 , 7.3 , 8.6 , 7.5 ,
             Administrative & Support Services , 1.2 , - , - , - , - , 1 , - , - , - , - , 2.8 , - , - , - , - , 3.6 , 5.3 , 6.6 , 6.6 , 7.6 , 9 , 10.5 , 10.8 , 10.9 , 12.1 , 11.5 , 14.7 , 13.4 , 14.8 , 14.2 ,
"         Community, Social & Personal Services ", 2.7 , 4.2 , 4.2 , 4.2 , 3.8 , 3.9 , 4.4 , 4.9 , 5.3 , 7.1 , 5.9 , 7.2 , 7.9 , 7.3 , 7.9 , 7.3 , 10 , 11.8 , 14.5 , 15.8 , 18.2 , 19.3 , 22.4 , 23.6 , 27.5 , 28.4 , 25.7 , 28.1 , 29.2 , 29.6 ,
             Public Administration & Education , 0.6 , - , - , - , - , 1 , - , - , 1.8 , 2.7 , 2.4 , 2.4 , 2.6 , 2.9 , 2.9 , 2.6 , 3.5 , 4.5 , 6 , 6.3 , 7.8 , 8 , 8.7 , 10.2 , 11.6 , 12.4 , 11.8 , 10.9 , 11.9 , 13.2 ,
             Health & Social Services , 0.5 , - , - , - , - , 1 , - , - , 1.1 , 1.4 , 1.4 , 1.6 , 2.2 , 1.8 , 2 , 1.9 , 2.7 , 2.9 , 3.3 , 3.5 , 4.3 , 4.3 , 4.3 , 5.4 , 7.1 , 7.2 , 6.2 , 7.8 , 8.3 , 8.8 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 1.4 , 1.6 , 2.4 , 1.9 , 2.4 , 1.7 , 1.8 , 2.1 , 2.3 , 2.2 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 3.2 , 3.1 , 2.6 , 3 , - , - , - , - , - , 4.7 , 5.4 , 7 , 6.1 , 6.4 , 7.1 , 5.9 , 7.3 , 6.7 , 5.4 ,
     Other Industries Nes * , 0.8 , 0.3 , 0.3 , 0.3 , 0.5 , 1 , 0.4 , 0.4 , 0.4 , 0.4 , 0.6 , 0.6 , 0.5 , 1 , 0.7 , 1 , 1.2 , 0.9 , 1.1 , 1.5 , 2.7 , 2 , 1.9 , 3 , 2.8 , 2.1 , 2.1 , 2.7 , 2.2 , 2 ,
 Employed Residents Aged 65 Years & Over , 23.4 , 17.8 , 21.2 , 21.4 , 24.2 , 21.1 , 25.6 , 24.8 , 23.8 , 27.1 , 24.2 , 28.2 , 28.3 , 30.6 , 28.7 , 30.7 , 44.4 , 46.1 , 50.3 , 57.1 , 59.7 , 73.8 , 83 , 96.1 , 114.7 , 115.3 , 126.8 , 141.5 , 145 , 159.7 ,
     Manufacturing , 2.6 , 2.2 , 3 , 2.6 , 2.8 , 2.2 , 2.5 , 2.8 , 2.8 , 3.3 , 2.5 , 2.6 , 3.2 , 3 , 2.8 , 2.6 , 3.9 , 4.6 , 5 , 5.3 , 6.2 , 7.1 , 8.5 , 9.1 , 9.5 , 9.3 , 10.8 , 10.8 , 12.5 , 13.3 ,
     Construction , 0.6 , 0.7 , 0.7 , 0.8 , 1 , 0.8 , 1.1 , 1.1 , 1 , 1.2 , 0.7 , 1 , 0.8 , 1.1 , 1.3 , 1 , 1.4 , 2.3 , 2.2 , 3.1 , 2.8 , 3.7 , 4.4 , 4.4 , 6.7 , 6.2 , 6.5 , 7.5 , 7.9 , 7.9 ,
     Services , 20 , 14.8 , 17.2 , 17.8 , 20.2 , 17.3 , 21.8 , 20.8 , 19.8 , 22.6 , 20.8 , 24.3 , 24.1 , 26.1 , 24.4 , 26.7 , 38.5 , 38.8 , 42.4 , 48 , 50.1 , 62.3 , 69 , 81.1 , 97 , 98 , 107.7 , 121.5 , 122.7 , 136.4 ,
         Wholesale & Retail Trade * , 7.3 , 8 , 9.4 , 10 , 10.6 , 4.9 , 11.7 , 11.1 , 5.4 , 7.3 , 6.3 , 7.5 , 5.8 , 6.6 , 6.5 , 7 , 9.4 , 9 , 9.2 , 10 , 9.3 , 11.9 , 13.6 , 16.1 , 22 , 19.9 , 23.1 , 25.9 , 24.8 , 28.4 ,
         Transportation & Storage * , 1.7 , 1.8 , 1.4 , 1.9 , 1.8 , 1.8 , 1.9 , 2.5 , 2.2 , 2.2 , 2.1 , 2.3 , 3 , 3.4 , 3.2 , 2.9 , 4.1 , 5.7 , 5.3 , 6.4 , 6.1 , 8.6 , 9.1 , 11.2 , 12 , 13.2 , 14 , 16.1 , 15.7 , 19 ,
         Accommodation & Food Services , 4.3 , - , - , - , - , 3.2 , - , - , 4.2 , 3.9 , 3.6 , 4 , 4.1 , 4.6 , 3.7 , 4.4 , 6.9 , 7.4 , 7.9 , 8.2 , 8.4 , 10.3 , 10.9 , 13.5 , 14.5 , 15.5 , 16.2 , 18.1 , 18.4 , 19.2 ,
         Information & Communications , 0.1 , - , - , - , - , 0.1 , - , - , - , - , 0.2 , - , - , - , - , 0.2 , 0.2 , 0.5 , 0.3 , 0.4 , 0.5 , 0.5 , 0.8 , 1 , 1.3 , 0.9 , 1.7 , 1.4 , 1 , 1.6 ,
         Financial & Insurance Services * , 0.5 , 2.8 , 3.4 , 3.2 , 4.5 , 0.4 , 5.3 , 4 , 0.6 , 0.3 , 0.6 , 0.7 , 0.8 , 0.6 , 0.6 , 0.9 , 1.4 , 0.8 , 0.9 , 1.4 , 1.6 , 2 , 2.5 , 2.7 , 2.9 , 3.1 , 4 , 5.4 , 5.2 , 5.9 ,
         Business Services , 3.5 , - , - , - , - , 4 , - , - , 3.9 , 5.2 , 4.6 , 5.2 , 6.2 , 5.9 , 5.8 , 6.8 , 9.5 , 9.1 , 10.4 , 11.1 , 13.4 , 15.9 , 17.4 , 19.8 , 24 , 25.8 , 26.4 , 31.9 , 33.6 , 33.8 ,
             Real Estate Services , 2.2 , - , - , - , - , 2 , - , - , - , - , 0.8 , - , - , - , - , 1.1 , 0.9 , 1.2 , 0.8 , 2 , 1.1 , 1.4 , 2.2 , 2.7 , 3.7 , 4.4 , 4.4 , 4.3 , 4.6 , 4.9 ,
             Professional Services , 0.4 , - , - , - , - , 0.4 , - , - , - , - , 0.7 , - , - , - , - , 1 , 1.1 , 1.3 , 1.5 , 1.6 , 2.3 , 2.7 , 2.3 , 3.6 , 4.7 , 4.9 , 5.1 , 6.1 , 7.6 , 7.9 ,
             Administrative & Support Services , 0.9 , - , - , - , - , 1.5 , - , - , - , - , 3.1 , - , - , - , - , 4.6 , 7.5 , 6.6 , 8.1 , 7.5 , 10 , 11.8 , 12.9 , 13.5 , 15.6 , 16.5 , 16.9 , 21.5 , 21.4 , 21 ,
"         Community, Social & Personal Services ", 2.6 , 2.2 , 3 , 2.7 , 3.3 , 2.9 , 2.9 , 3.2 , 3.5 , 3.7 , 3.4 , 4.6 , 4.2 , 4.9 , 4.7 , 4.5 , 7 , 6.3 , 8.3 , 10.3 , 10.8 , 13 , 14.5 , 16.7 , 20.6 , 19.5 , 22.2 , 22.8 , 24.1 , 28.6 ,
             Public Administration & Education , 0.2 , - , - , - , - , 0.3 , - , - , 0.8 , 0.8 , 0.8 , 1.1 , 0.8 , 1.4 , 1.1 , 1.2 , 2.2 , 2.2 , 2.1 , 3.6 , 4 , 4.6 , 5.4 , 5.3 , 6.6 , 7.8 , 8 , 8.4 , 9 , 10.7 ,
             Health & Social Services , 0.5 , - , - , - , - , 0.6 , - , - , 0.5 , 0.7 , 0.8 , 1 , 0.8 , 1.3 , 1.1 , 1.2 , 1.7 , 1.3 , 2 , 2.2 , 2.2 , 2.7 , 3.5 , 4 , 6.1 , 4.9 , 6.1 , 6.5 , 6.7 , 8.4 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 1.1 , 0.8 , 0.9 , 1.2 , 1.6 , 1.4 , 2.3 , 1.2 , 1.9 , 1.8 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 2.5 , 2.6 , 2.2 , 2.5 , - , - , - , - , - , 3.5 , 4.9 , 4.7 , 6.2 , 6.3 , 5.4 , 5.8 , 6.7 , 6.5 , 7.7 ,
     Other Industries Nes * , 0.2 , 0.1 , 0.3 , 0.1 , 0.2 , 0.8 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.2 , 0.5 , 0.2 , 0.4 , 0.6 , 0.5 , 0.7 , 0.8 , 0.7 , 0.8 , 1.2 , 1.4 , 1.4 , 1.8 , 1.8 , 1.8 , 1.8 , 2.1 ,



"Residents comprise Singapore citizens and permanent residents.  Based on mid-year Labour Force Survey except Census yrs 1990, 2000 & General Household Surveys 1995 & 2005.  Data across the various years may not be strictly comparable due to revisions in the industrial classification.  1991-1994 & 1996-1997 data are based on Singapore Standard Industrial Classification (SSIC) 1990.  1998-1999 data are based on SSIC 1996 & 2001-2004 data are based on SSIC 2000.  Data for 1990, 1995, 2000 & 2005 onwards are based on SSIC 2005.  Data from 2010 to 2014 are classified according to the SSIC 2010.  Data from 2015 are classified according to the SSIC 2015.  To facilitate comparison with 2008, 2007 Labour Force Survey data have been adjusted based on Singapore Department of Statistics revised population estimates (released in February 2008) which exclude Singapore residents who have been away from Singapore for a continuous period of 12 months or longer."

ALL INDUSTRIES (EMPLOYED RESIDENTS) 
    SERVICES 
"        WHOLESALE & RETAIL TRADE - DATA FOR 1991-1994 AND 1996-1997 REFERS TO WHOLESALE, RETAIL, HOTELS AND RESTAURANTS."
"        TRANSPORTATION & STORAGE - DATA FOR 1991-1994, 1996-1999 AND 2001-2004 REFERS TO TRANSPORT, STORAGE AND COMMUNICATIONS."
"        FINANCIAL & INSURANCE SERVICES - DATA FOR 1991-1994 AND 1996-1997 REFERS TO FINANCIAL, INSURANCE, REAL ESTATE AND BUSINESS SERVICES."
"    OTHER INDUSTRIES NES - DATA INCLUDES AGRICULTURE, FISHING, QUARRYING, UTILITIES AND SEWERAGE & WASTE MANAGEMENT."
EMPLOYED RESIDENTS AGED 15 - 19 YEARS 
    SERVICES 
"        WHOLESALE & RETAIL TRADE - DATA FOR 1991-1994 AND 1996-1997 REFERS TO WHOLESALE, RETAIL, HOTELS AND RESTAURANTS."
"        TRANSPORTATION & STORAGE - DATA FOR 1991-1994, 1996-1999 AND 2001-2004 REFERS TO TRANSPORT, STORAGE AND COMMUNICATIONS."
"        FINANCIAL & INSURANCE SERVICES - DATA FOR 1991-1994 AND 1996-1997 REFERS TO FINANCIAL, INSURANCE, REAL ESTATE AND BUSINESS SERVICES."
"    OTHER INDUSTRIES NES - DATA INCLUDES AGRICULTURE, FISHING, QUARRYING, UTILITIES AND SEWERAGE & WASTE MANAGEMENT."
EMPLOYED RESIDENTS AGED 20 - 24 YEARS 
    SERVICES 
"        WHOLESALE & RETAIL TRADE - DATA FOR 1991-1994 AND 1996-1997 REFERS TO WHOLESALE, RETAIL, HOTELS AND RESTAURANTS."
"        TRANSPORTATION & STORAGE - DATA FOR 1991-1994, 1996-1999 AND 2001-2004 REFERS TO TRANSPORT, STORAGE AND COMMUNICATIONS."
