" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
         Information & Communications , 0.2 , - , - , - , - , 0.2 , - , - , - , - , 0.6 , - , - , - , - , 0.2 , 0.8 , 0.8 , 0.6 , 0.7 , 1 , 0.6 , 0.5 , 0.8 , 0.8 , 1 , 0.6 , 0.7 , 1.2 , 0.5 ,
         Financial & Insurance Services * , 1.9 , 4.5 , 3.7 , 3.7 , 3 , 1.4 , 2.7 , 2.5 , 0.8 , 0.6 , 0.8 , 0.9 , 0.7 , 0.3 , 0.5 , 0.3 , 0.6 , 0.6 , 0.7 , 0.3 , 0.5 , 0.4 , 0.7 , 0.4 , 0.3 , 0.7 , 0.7 , 0.4 , 1.1 , 0.8 ,
         Business Services , 2.9 , - , - , - , - , 1.7 , - , - , 1 , 1.3 , 1.2 , 1.1 , 1.1 , 1 , 1 , 0.9 , 1 , 1.6 , 1.8 , 1.6 , 2.1 , 1.9 , 1.6 , 1.6 , 1.4 , 1.9 , 1.6 , 1.3 , 1.8 , 1.9 ,
             Real Estate Services , 0.9 , - , - , - , - , 0.6 , - , - , - , - , 0.3 , - , - , - , - , 0.1 , 0 , 0 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0 , 0.1 , 0 , 0.1 , 0.1 , 0.2 , 0.1 ,
             Professional Services , 1 , - , - , - , - , 0.7 , - , - , - , - , 0.4 , - , - , - , - , 0.3 , 0.6 , 0.7 , 0.7 , 0.7 , 1 , 0.8 , 0.9 , 0.9 , 0.9 , 1.2 , 1 , 0.7 , 0.9 , 1.1 ,
             Administrative & Support Services , 0.9 , - , - , - , - , 0.4 , - , - , - , - , 0.6 , - , - , - , - , 0.6 , 0.4 , 0.9 , 1 , 0.8 , 0.9 , 0.9 , 0.5 , 0.7 , 0.4 , 0.7 , 0.5 , 0.5 , 0.7 , 0.7 ,
"         Community, Social & Personal Services ", 22.3 , 27.7 , 25.1 , 20.9 , 18.8 , 17.2 , 18.6 , 14.9 , 15.7 , 16.2 , 15.1 , 16.1 , 11 , 12.1 , 11.5 , 11.7 , 12.4 , 17.1 , 16.5 , 15.5 , 21.1 , 17 , 16.8 , 15 , 15.4 , 20.1 , 19.8 , 18.8 , 19.1 , 17.9 ,
             Public Administration & Education , 19.8 , - , - , - , - , 15.3 , - , - , 14.2 , 14.5 , 13.7 , 14.1 , 9.7 , 10.8 , 10.2 , 10.6 , 10.8 , 15.4 , 14.3 , 13.4 , 18 , 15 , 14.1 , 12.7 , 13.3 , 17.7 , 17.5 , 16.8 , 16.4 , 15.4 ,
             Health & Social Services , 0.9 , - , - , - , - , 0.7 , - , - , 0.4 , 0.7 , 0.7 , 0.9 , 0.4 , 0.4 , 0.5 , 0.4 , 0.8 , 0.7 , 0.9 , 0.8 , 1.5 , 0.8 , 1 , 1 , 0.8 , 0.9 , 1.1 , 1 , 0.8 , 1.2 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 1.1 , 0.8 , 1.2 , 0.8 , 1 , 1 , 0.8 , 0.6 , 1.5 , 1 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 1.1 , 0.9 , 0.9 , 0.8 , - , - , - , - , - , 0.5 , 0.4 , 0.5 , 0.5 , 0.3 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 ,
     Other Industries Nes * , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0 , 0 , 0 , 0.1 , 0.1 , 0.2 , 0.2 , 0 , 0.1 , 0 , 0 , 0 , 0 , 0 , 0.2 , 0 , 0.1 , 0 , 0 , 0.1 , 0 , 0 , 0.2 , 0.2 ,
 Employed Residents Aged 20 - 24 Years , 177.6 , 185.5 , 178.8 , 179.3 , 176.5 , 158.7 , 152.6 , 152.9 , 130 , 129.6 , 122.1 , 130.4 , 118.3 , 122.3 , 127 , 118.2 , 139.6 , 128.1 , 133.1 , 127.5 , 142.1 , 147.2 , 156.1 , 141.9 , 146.8 , 150.2 , 147.2 , 135.2 , 135.9 , 131.3 ,
     Manufacturing , 47.7 , 49.7 , 41.9 , 39.9 , 36.5 , 24.5 , 27.2 , 24.8 , 18.9 , 15.6 , 13.8 , 13.2 , 11.7 , 10.1 , 10.4 , 11.3 , 10.6 , 11.5 , 10.5 , 7.2 , 7.9 , 7.9 , 7.1 , 7.4 , 5.9 , 6.4 , 5.8 , 4.8 , 6 , 4.9 ,
     Construction , 6.3 , 6.7 , 6.5 , 6.6 , 6.4 , 5.6 , 6 , 6.1 , 5.2 , 5.1 , 3.2 , 2.6 , 2.3 , 2.2 , 2.2 , 1.4 , 2.2 , 1.9 , 2.3 , 2.2 , 2.1 , 1.9 , 2.8 , 2 , 2.3 , 2.7 , 1.9 , 2.6 , 1.8 , 1.3 ,
     Services , 122.8 , 128.7 , 129.7 , 132.5 , 133.3 , 127.7 , 119.2 , 121.3 , 105.6 , 108.4 , 104.6 , 114.3 , 103.9 , 109.3 , 114 , 104.9 , 126 , 114.2 , 119.9 , 117.6 , 130.8 , 136.4 , 145.3 , 131.6 , 137.5 , 140.1 , 138.7 , 127.2 , 127.2 , 124.5 ,
         Wholesale & Retail Trade * , 28.2 , 35.3 , 33.8 , 34.5 , 33.5 , 21.5 , 27.9 , 26.5 , 17.1 , 14.8 , 16.5 , 15.2 , 14.3 , 15 , 15.8 , 18 , 17.4 , 16.7 , 15 , 13.5 , 16.5 , 16.6 , 18.1 , 16.5 , 17.1 , 16.7 , 17.7 , 15.6 , 14.7 , 13.2 ,
         Transportation & Storage * , 10.9 , 12.9 , 13.9 , 15.2 , 14.1 , 13.7 , 13.3 , 12.7 , 10.2 , 11 , 7.4 , 10.4 , 7.7 , 8.4 , 8.1 , 7.2 , 6.9 , 7.4 , 7.6 , 6.9 , 7.1 , 8.1 , 7.8 , 8 , 7.1 , 7.5 , 7.7 , 8.2 , 7.7 , 7.9 ,
         Accommodation & Food Services , 9.1 , - , - , - , - , 6.2 , - , - , 5.2 , 7.1 , 5.3 , 6.3 , 5.3 , 6.8 , 6.5 , 6.1 , 8.1 , 7.7 , 7.4 , 8.3 , 7.9 , 10.1 , 9 , 8.7 , 9.7 , 9.8 , 9.7 , 9.2 , 9.8 , 10.3 ,
         Information & Communications , 1.9 , - , - , - , - , 4.1 , - , - , - , - , 6.1 , - , - , - , - , 4.9 , 6.3 , 6.1 , 6.8 , 5.1 , 6.6 , 5 , 6.1 , 4.8 , 5.3 , 5.6 , 5.9 , 4 , 5.1 , 5.9 ,
         Financial & Insurance Services * , 10.5 , 24.3 , 23.5 , 23.3 , 26.1 , 12.2 , 25.5 , 27.8 , 9 , 8.5 , 7.4 , 6.7 , 5.2 , 4.9 , 6.5 , 7.1 , 7.6 , 8.2 , 9.6 , 7.4 , 7.5 , 9 , 10.2 , 7 , 8.8 , 10 , 10.3 , 8.4 , 10.4 , 7.9 ,
         Business Services , 13.7 , - , - , - , - , 16.1 , - , - , 13.1 , 13.1 , 12.2 , 16.2 , 11.5 , 12.2 , 13.3 , 13.1 , 15.2 , 14.3 , 16.5 , 13.8 , 16.5 , 15.5 , 16.3 , 16.1 , 15.5 , 18.6 , 17.3 , 16.5 , 16 , 17.9 ,
             Real Estate Services , 2.6 , - , - , - , - , 3.7 , - , - , - , - , 2.5 , - , - , - , - , 1.6 , 1.7 , 1.6 , 1.9 , 1.6 , 1.6 , 1.8 , 1.9 , 1.9 , 1.3 , 1.8 , 1.7 , 1.7 , 1.5 , 0.8 ,
